start,end,pm2.5,pm10,temp,bp,rh,ws,co,o3,nox,so2,date
2020-01-01 00:00:00,2020-01-01 00:15:00,961.0,,35.0,740.0,89.0,0.6,7.8,,354.8,1.9,1/1
2020-01-01 00:15:00,2020-01-01 00:30:00,961.0,,34.5,740.0,87.0,0.8,4.99,,252.8,,1/1
2020-01-01 00:30:00,2020-01-01 00:45:00,,,34.0,740.0,86.0,0.9,3.19,,192.0,,1/1
2020-01-01 00:45:00,2020-01-01 01:00:00,565.0,718.0,34.0,740.0,85.0,1.0,1.47,,124.7,,1/1
2020-01-01 01:00:00,2020-01-01 01:15:00,565.0,718.0,34.0,740.0,85.0,0.7,1.05,,117.9,,1/1
2020-01-01 01:15:00,2020-01-01 01:30:00,565.0,,33.0,740.0,84.0,1.2,0.54,,106.5,,1/1
2020-01-01 01:30:00,2020-01-01 01:45:00,565.0,718.0,32.0,740.0,85.0,0.6,0.48,,90.0,,1/1
2020-01-01 01:45:00,2020-01-01 02:00:00,334.0,449.0,34.0,740.0,86.0,0.4,,,87.6,,1/1
2020-01-01 02:00:00,2020-01-01 02:15:00,334.0,449.0,35.0,740.0,88.0,0.4,2.32,,90.6,,1/1
2020-01-01 02:15:00,2020-01-01 02:30:00,334.0,449.0,33.0,740.0,89.0,0.5,2.7,,91.3,,1/1
2020-01-01 02:30:00,2020-01-01 02:45:00,334.0,449.0,32.0,740.0,88.0,0.6,3.11,,124.7,,1/1
2020-01-01 02:45:00,2020-01-01 03:00:00,349.0,458.0,31.5,740.0,85.0,0.8,2.71,,113.2,3.0,1/1
2020-01-01 03:00:00,2020-01-01 03:15:00,349.0,458.0,31.0,740.0,86.0,0.3,2.7,,103.2,3.0,1/1
2020-01-01 03:15:00,2020-01-01 03:30:00,349.0,458.0,31.0,740.0,89.0,0.3,2.73,,105.0,2.5,1/1
2020-01-01 03:30:00,2020-01-01 03:45:00,349.0,458.0,31.0,740.0,91.0,0.3,2.62,,103.2,2.2,1/1
2020-01-01 03:45:00,2020-01-01 04:00:00,363.0,439.0,31.0,740.0,92.0,0.3,,,102.7,1.9,1/1
2020-01-01 04:00:00,2020-01-01 04:15:00,363.0,439.0,31.0,740.0,91.0,0.5,2.75,,102.1,2.1,1/1
2020-01-01 04:15:00,2020-01-01 04:30:00,363.0,439.0,30.0,740.0,89.0,0.3,3.02,,114.3,,1/1
2020-01-01 04:30:00,2020-01-01 04:45:00,363.0,439.0,31.0,740.0,90.0,0.3,2.86,,112.7,2.3,1/1
2020-01-01 04:45:00,2020-01-01 05:00:00,351.0,447.0,31.0,740.0,92.0,0.5,2.81,,113.2,3.4,1/1
2020-01-01 05:00:00,2020-01-01 05:15:00,351.0,447.0,31.0,740.0,92.0,0.4,2.73,,112.2,4.0,1/1
2020-01-01 05:15:00,2020-01-01 05:30:00,351.0,447.0,31.0,740.0,91.0,0.4,2.67,,114.2,3.7,1/1
2020-01-01 05:30:00,2020-01-01 05:45:00,351.0,447.0,30.0,740.0,93.0,0.4,2.56,,112.0,3.9,1/1
2020-01-01 05:45:00,2020-01-01 06:00:00,337.0,412.0,31.0,740.0,92.0,0.3,,,105.0,3.7,1/1
2020-01-01 06:00:00,2020-01-01 06:15:00,337.0,412.0,30.0,740.0,92.0,0.4,2.59,,100.6,3.5,1/1
