start,end,pm2.5,pm10,temp,bp,rh,ws,co,o3,nox,so2
2020-01-01 00:00:00,2020-01-01 00:15:00,961,,35,740,89,0.6,7.8,,354.8,1.9
2020-01-01 00:15:00,2020-01-01 00:30:00,961,,34.5,740,87,0.8,4.99,,252.8,
2020-01-01 00:30:00,2020-01-01 00:45:00,,,34,740,86,0.9,3.19,,192,
2020-01-01 00:45:00,2020-01-01 01:00:00,565,718,34,740,85,1,1.47,,124.7,
2020-01-01 01:00:00,2020-01-01 01:15:00,565,718,34,740,85,0.7,1.05,,117.9,
2020-01-01 01:15:00,2020-01-01 01:30:00,565,,33,740,84,1.2,0.54,,106.5,
2020-01-01 01:30:00,2020-01-01 01:45:00,565,718,32,740,85,0.6,0.48,,90,
2020-01-01 01:45:00,2020-01-01 02:00:00,334,449,34,740,86,0.4,,,87.6,
2020-01-01 02:00:00,2020-01-01 02:15:00,334,449,35,740,88,0.4,2.32,,90.6,
2020-01-01 02:15:00,2020-01-01 02:30:00,334,449,33,740,89,0.5,2.7,,91.3,
2020-01-01 02:30:00,2020-01-01 02:45:00,334,449,32,740,88,0.6,3.11,,124.7,
2020-01-01 02:45:00,2020-01-01 03:00:00,349,458,31.5,740,85,0.8,2.71,,113.2,3
2020-01-01 03:00:00,2020-01-01 03:15:00,349,458,31,740,86,0.3,2.7,,103.2,3
2020-01-01 03:15:00,2020-01-01 03:30:00,349,458,31,740,89,0.3,2.73,,105,2.5
2020-01-01 03:30:00,2020-01-01 03:45:00,349,458,31,740,91,0.3,2.62,,103.2,2.2
2020-01-01 03:45:00,2020-01-01 04:00:00,363,439,31,740,92,0.3,,,102.7,1.9
2020-01-01 04:00:00,2020-01-01 04:15:00,363,439,31,740,91,0.5,2.75,,102.1,2.1
2020-01-01 04:15:00,2020-01-01 04:30:00,363,439,30,740,89,0.3,3.02,,114.3,
2020-01-01 04:30:00,2020-01-01 04:45:00,363,439,31,740,90,0.3,2.86,,112.7,2.3
2020-01-01 04:45:00,2020-01-01 05:00:00,351,447,31,740,92,0.5,2.81,,113.2,3.4
2020-01-01 05:00:00,2020-01-01 05:15:00,351,447,31,740,92,0.4,2.73,,112.2,4
2020-01-01 05:15:00,2020-01-01 05:30:00,351,447,31,740,91,0.4,2.67,,114.2,3.7
2020-01-01 05:30:00,2020-01-01 05:45:00,351,447,30,740,93,0.4,2.56,,112,3.9
2020-01-01 05:45:00,2020-01-01 06:00:00,337,412,31,740,92,0.3,,,105,3.7
2020-01-01 06:00:00,2020-01-01 06:15:00,337,412,30,740,92,0.4,2.59,,100.6,3.5
2020-01-01 06:15:00,2020-01-01 06:30:00,337,412,30,740,90,0.3,2.74,,100.5,
2020-01-01 06:30:00,2020-01-01 06:45:00,337,412,31,740,89,0.4,2.67,,101.7,3.8
2020-01-01 06:45:00,2020-01-01 07:00:00,330,425,32,740,87,0.6,2.54,,98.3,4.3
2020-01-01 07:00:00,2020-01-01 07:15:00,330,425,33,740,88,0.5,,,,
2020-01-01 07:15:00,2020-01-01 07:30:00,330,425,35,740,88,0.6,,,,
2020-01-01 07:30:00,2020-01-01 07:45:00,330,425,35,740,87,0.6,,,,
2020-01-01 07:45:00,2020-01-01 08:00:00,431,559,33,741,85,0.8,,,143.2,199.5
2020-01-01 08:00:00,2020-01-01 08:15:00,431,559,34,741,82,0.6,2.84,,128.6,5.6
2020-01-01 08:15:00,2020-01-01 08:30:00,431,559,33,741,82,0.9,2.89,,124.9,
2020-01-01 08:30:00,2020-01-01 08:45:00,431,559,33.5,741,79,1,2.89,,123.7,6.2
2020-01-01 08:45:00,2020-01-01 09:00:00,443,621,33,741,75,1,2.82,,143,7.2
2020-01-01 09:00:00,2020-01-01 09:15:00,443,621,33,741,68,1.3,2.55,0.86,148.6,8
2020-01-01 09:15:00,2020-01-01 09:30:00,443,621,32,742,65,1,2.43,1.47,144.2,9.4
2020-01-01 09:30:00,2020-01-01 09:45:00,443,621,32,742,63,1.7,2.08,1.63,135.8,9.9
2020-01-01 09:45:00,2020-01-01 10:00:00,382,504,32,742,62,1.7,,4.49,95.4,10.2
2020-01-01 10:00:00,2020-01-01 10:15:00,382,504,31.5,742,60,1.7,1.8,9,68.1,13.3
2020-01-01 10:15:00,2020-01-01 10:30:00,382,504,31,742,57,1.4,1.68,12.72,65,
2020-01-01 10:30:00,2020-01-01 10:45:00,382,504,32,742,56,1.7,1.76,14.88,65.1,18.6
2020-01-01 10:45:00,2020-01-01 11:00:00,300,438,31,742,54,2.1,1.55,18.31,66.5,25.9
2020-01-01 11:00:00,2020-01-01 11:15:00,300,438,30,742,54,2.1,1.18,25.42,51.6,24.2
