pm10,temp,bp,rh,ws,co,o3,nox,so2,pm2.5
0.7487,1,0.8966,0.8795,0.0556,0.78,0.1431,0.7096,0.0085,961
0.7487,0.9,0.8966,0.8313,0.1296,0.147,0.1431,0.2494,0.079,565
0.7487,0.9,0.8966,0.8313,0.0741,0.105,0.1431,0.2358,0.079,565
0.7487,0.7,0.8966,0.8313,0.0556,0.048,0.1431,0.18,0.079,565
0.4682,1,0.8966,0.8675,0.0185,0.232,0.1431,0.1812,0.079,334
0.4682,0.8,0.8966,0.8795,0.037,0.27,0.1431,0.1826,0.079,334
0.4682,0.7,0.8966,0.8675,0.0556,0.311,0.1431,0.2494,0.079,334
0.4776,0.65,0.8966,0.8313,0.0926,0.271,0.1431,0.2264,0.014,349
0.4776,0.6,0.8966,0.8434,0,0.27,0.1431,0.2064,0.014,349
0.4776,0.6,0.8966,0.8795,0,0.273,0.1431,0.21,0.0115,349
0.4776,0.6,0.8966,0.9036,0,0.262,0.1431,0.2064,0.01,349
0.4578,0.6,0.8966,0.9157,0,0.262,0.1431,0.2054,0.0085,363
0.4578,0.6,0.8966,0.9036,0.037,0.275,0.1431,0.2042,0.0095,363
0.4578,0.5,0.8966,0.8795,0,0.302,0.1431,0.2286,0.079,363
0.4578,0.6,0.8966,0.8916,0,0.286,0.1431,0.2254,0.0105,363
0.4661,0.6,0.8966,0.9157,0.037,0.281,0.1431,0.2264,0.016,351
0.4661,0.6,0.8966,0.9157,0.0185,0.273,0.1431,0.2244,0.019,351
0.4661,0.6,0.8966,0.9036,0.0185,0.267,0.1431,0.2284,0.0175,351
0.4661,0.5,0.8966,0.9277,0.0185,0.256,0.1431,0.224,0.0185,351
0.4296,0.6,0.8966,0.9157,0,0.256,0.1431,0.21,0.0175,337
0.4296,0.5,0.8966,0.9157,0.0185,0.259,0.1431,0.2012,0.0165,337
0.4296,0.5,0.8966,0.8916,0,0.274,0.1431,0.201,0.079,337
0.4296,0.6,0.8966,0.8795,0.0185,0.267,0.1431,0.2034,0.018,337
0.4432,0.7,0.8966,0.8554,0.0556,0.254,0.1431,0.1966,0.0205,330
0.5829,0.8,0.931,0.8313,0.0926,0.254,0.1431,0.2864,0.9975,431
0.5829,0.9,0.931,0.7952,0.0556,0.284,0.1431,0.2572,0.027,431
0.5829,0.8,0.931,0.7952,0.1111,0.289,0.1431,0.2498,0.079,431
0.5829,0.85,0.931,0.759,0.1296,0.289,0.1431,0.2474,0.03,431
0.6475,0.8,0.931,0.7108,0.1296,0.282,0.1431,0.286,0.035,443
0.6475,0.8,0.931,0.6265,0.1852,0.255,0.0043,0.2972,0.039,443
0.6475,0.7,0.9655,0.5904,0.1296,0.243,0.0074,0.2884,0.046,443
0.6475,0.7,0.9655,0.5663,0.2593,0.208,0.0082,0.2716,0.0485,443
0.5255,0.7,0.9655,0.5542,0.2593,0.208,0.0226,0.1908,0.0501,382
0.5255,0.65,0.9655,0.5301,0.2593,0.18,0.0453,0.1362,0.0656,382
0.5255,0.6,0.9655,0.494,0.2037,0.168,0.064,0.13,0.079,382
0.5255,0.7,0.9655,0.4819,0.2593,0.176,0.0749,0.1302,0.0921,382
0.4567,0.6,0.9655,0.4578,0.3333,0.155,0.0922,0.133,0.1286,300
0.4567,0.5,0.9655,0.4578,0.3333,0.118,0.128,0.1032,0.1201,300
0.4567,0.5,0.9655,0.4578,0.3889,0.092,0.1552,0.0746,0.1076,300
0.4567,0.5,0.9655,0.4578,0.3704,0.085,0.1775,0.0604,0.1096,300
0.2669,0.5,0.9655,0.4458,0.3704,0.085,0.1835,0.0576,0.1211,183
0.2669,0.5,0.9655,0.4458,0.4074,0.094,0.1947,0.0566,0.1116,183
0.2669,0.5,0.9655,0.4458,0.4259,0.089,0.2146,0.0534,0.079,183
0.2669,0.5,0.9655,0.4337,0.3889,0.09,0.2333,0.05,0.1071,183
0.2221,0.5,0.9655,0.4337,0.3704,0.094,0.2317,0.0508,0.1146,142
0.2221,0.5,0.9655,0.4217,0.3704,0.085,0.2374,0.0522,0.1136,142
0.2221,0.5,0.9655,0.4217,0.2778,0.086,0.2436,0.0532,0.1216,142
0.2221,0.5,0.9655,0.4096,0.3519,0.079,0.2337,0.0562,0.1426,142
0.2106,0.5,0.9655,0.4217,0.3889,0.079,0.2352,0.06,0.1652,123
0.2106,0.5,0.9655,0.4337,0.3333,0.082,0.1973,0.071,0.2272,123
0.2106,0.45,0.9655,0.4217,0.3148,0.097,0.1616,0.093,0.079,123
0.2106,0.5,0.9655,0.4217,0.3519,0.084,0.234,0.0724,0.2347,123
0.2096,0.6,0.9655,0.4217,0.2963,0.085,0.2383,0.0678,0.2142,129
0.2096,0.5,0.9655,0.4217,0.2778,0.084,0.2456,0.0678,0.1882,129
0.2096,0.6,0.9655,0.3976,0.2593,0.082,0.2779,0.0648,0.1436,129
0.2096,0.6,0.9655,0.3855,0.3333,0.073,0.3311,0.0554,0.1011,129
0.1825,0.6,0.9655,0.3735,0.2778,0.073,0.3277,0.0518,0.0831,105
0.1825,0.6,0.9655,0.3735,0.2778,0.072,0.3567,0.0488,0.0746,105
0.1825,0.6,0.9655,0.3855,0.2222,0.082,0.3418,0.048,0.079,105
0.1825,0.6,0.9655,0.3976,0.1296,0.086,0.3108,0.0544,0.0666,105
0.1522,0.6,0.9655,0.4096,0.1296,0.101,0.2627,0.0648,0.0626,85
0.1522,0.7,0.9655,0.4217,0.0741,0.11,0.2242,0.0736,0.0586,85
0.1522,0.7,0.9655,0.4578,0,0.125,0.1305,0.0912,0.0561,85
0.1522,0.7,0.931,0.5542,0,0.156,0.0777,0.1084,0.0485,85
0.2263,0.7,0.931,0.6145,0.0185,0.156,0.0179,0.2262,0.0445,119
0.2263,0.7,0.931,0.6867,0,0.428,0.0111,0.4214,0.045,119
0.2263,0.75,0.931,0.7349,0,0.669,0.0211,0.7386,0.079,119
0.2263,0.8,0.931,0.747,0,0.719,0.0218,0.8054,0.0511,119
0.5422,0.7,0.931,0.7711,0,0.879,0.0205,0.941,0.0495,287
0.5422,0.6,0.931,0.7952,0,0.001,0.0222,0.941,0.0556,287
0.5422,0.6,0.931,0.8193,0,0.001,0.0271,0.941,0.0651,287
0.5422,0.6,0.931,0.8313,0,0.002,0.0271,0.941,0.0766,287
0.9343,0.6,0.931,0.8554,0,0.002,0.0271,0.941,0.0871,606
0.9343,0.5,0.931,0.8554,0,0.002,0.0271,0.941,0.0761,606
0.9343,0.9,0.931,0.8434,0.037,0.806,0.0271,0.9308,0.029,974
0.9583,0.7,0.931,0.8434,0,0.806,0.0271,0.8258,0.021,726
0.9583,0.7,0.931,0.8554,0,0.735,0.0271,0.7726,0.015,726
0.9583,0.9,0.931,0.8675,0,0.727,0.0271,0.6966,0.079,726
0.9583,0.7,0.931,0.8795,0,0.582,0.0271,0.6138,0.009,726
0.6517,0.75,0.931,0.8916,0,0.453,0.0271,0.5252,0.0085,508
0.6517,0.8,0.931,0.8916,0.0185,0.427,0.0271,0.4496,0.0015,508
0.6517,0.8,0.931,0.8916,0.0185,0.389,0.0271,0.4296,0,508
0.5089,0.8,0.931,0.9036,0.0185,0.395,0.0271,0.3852,0.079,414
0.5089,0.7,0.931,0.9036,0,0.384,0.0271,0.3676,0.079,414
0.5089,0.85,0.931,0.9036,0,0.36,0.0271,0.3514,0.0005,414
0.4108,0.8,0.931,0.9036,0.0185,0.331,0.0271,0.3274,0.014,340
0.4108,0.7,0.931,0.9157,0.0185,0.323,0.0271,0.3332,0.0195,340
0.4108,0.6,0.931,0.9036,0,0.306,0.0271,0.3204,0.02,340
0.4108,0.6,0.931,0.9036,0,0.291,0.0271,0.3072,0.02,340
0.4202,0.55,0.931,0.9157,0,0.311,0.0271,0.3058,0.02,340
0.4202,0.5,0.931,0.9398,0.0185,0.293,0.0271,0.3084,0.023,340
0.3952,0.5,0.931,0.9277,0.0185,0.269,0.0271,0.2938,0.0285,328
0.3952,0.5,0.931,0.8795,0.0741,0.251,0.0271,0.2878,0.028,328
0.3952,0.5,0.931,0.8193,0.0926,0.197,0.0271,0.2694,0.0235,328
0.3952,0.5,0.931,0.8072,0.0926,0.168,0.0271,0.2426,0.024,328
0.4108,0.5,0.931,0.8072,0.0556,0.168,0.0271,0.1982,0.0245,319
0.4108,0.5,0.931,0.8072,0.0556,0.174,0.0271,0.1816,0.0245,319
0.4108,0.5,0.931,0.8434,0.0185,0.18,0.0271,0.1754,0.079,319
0.4108,0.5,0.931,0.8434,0.0185,0.171,0.0271,0.1652,0.0245,319
0.3525,0.6,0.931,0.8675,0,0.219,0.0271,0.186,0.0235,278
0.3796,0.85,0.931,0.8434,0.0556,0.31,0.0271,0.3838,0.0435,286
0.3796,0.8,0.931,0.7831,0.0556,0.353,0.0271,0.3666,0.079,286
